scenario_id,state,channel,product,product_type,credit_band,dealer_tier,system_kw,battery_attach,annual_kwh,project_cost,dealer_fee_pct,funding_cost_pct,loss_reserve_pct,customer_monthly_payment,rate_card,npv,irr_pct,contribution_margin_bps,margin_gap_bps,competitor_gap_bps,approval_lift_pts,readiness_score,qa_defects,priority_score,customer_savings_year_1,recommendation
SCN-011,CA,New homes,Operating lease,Lease,Near prime,Emerging,6.684,Yes,9934,21846.29,0.092,0.068,0.027,259.09,"$259/mo, 3.50% escalator",26888.63,0.181,1033.225,379.563,19.15,3.596,66.294,6,49.332,-29.56,Monitor in weekly pricing digest
SCN-012,CA,Direct homeowner,Operating lease,Lease,Prime,Emerging,11.784,Yes,18087,40198.77,0.063,0.048,0.014,488.97,"$489/mo, 0.00% escalator",45313.88,0.169,1159.933,620.639,28.737,22.319,85.194,4,28.497,-260.63,Expand into next operating review
SCN-013,CA,Dealer partner,Levelized PPA,PPA,Super prime,National,11.349,No,17886,34224.93,0.076,0.046,0.007,373.14,"$0.250/kWh, 2.99% escalator",57151.1,0.18,1320.851,744.42,27.402,33.548,90.869,4,34.576,1067.11,Expand into next operating review
SCN-014,CA,Installer platform,Levelized PPA,PPA,Super prime,National,8.367,No,13362,29451.86,0.061,0.05,0.007,237.43,"$0.213/kWh, 0.00% escalator",14397.74,0.108,552.927,42.495,22.799,30.542,71.348,7,41.058,1293.35,Hold launch until pricing QA clears
SCN-015,CA,New homes,Levelized PPA,PPA,Prime,Regional,11.097,No,16382,33044.25,0.058,0.055,0.014,293.37,"$0.215/kWh, 2.99% escalator",34487.65,0.152,929.534,302.332,34.66,21.443,71.644,3,38.039,1557.98,Reprice to defend installer proposal flow
SCN-016,CA,Direct homeowner,Levelized PPA,PPA,Prime,National,9.323,No,14302,31385.25,0.056,0.049,0.014,238.09,"$0.200/kWh, 0.00% escalator",11222.21,0.092,381.087,-169.191,29.585,21.826,63.047,0,50.229,1576.65,Raise rate or reduce dealer incentive
SCN-017,CA,Dealer partner,Prepaid lease,Lease,Prime,Regional,6.903,No,10110,19387.02,0.062,0.053,0.014,0,"$1778/kW prepaid, 6.2% dealer fee",5671.61,0.442,3888.54,3261.29,16.309,24.74,90.491,4,31.914,2444.72,Expand into next operating review
SCN-018,CA,Installer platform,Prepaid lease,Lease,Prime,Regional,8.012,Yes,11573,26337.82,0.032,0.051,0.014,0,"$1835/kW prepaid, 3.2% dealer fee",3487.35,0.147,953.931,419.242,5.528,19.948,77.364,2,19.327,2798.5,Expand into next operating review
SCN-019,CA,New homes,Prepaid lease,Lease,Near prime,Emerging,8.966,No,13433,28165.42,0.053,0.061,0.027,0,"$1627/kW prepaid, 5.3% dealer fee",3581.08,0.138,770.844,136.49,-16.49,5.856,60.491,3,39.758,3248.28,Monitor in weekly pricing digest
SCN-020,CA,Direct homeowner,Prepaid lease,Lease,Prime,Regional,11.691,Yes,17335,36284.61,0.021,0.053,0.014,0,"$1561/kW prepaid, 2.1% dealer fee",3309.38,0.104,507.095,-90.427,-10.932,19.567,64.286,5,46.411,4191.63,Raise rate or reduce dealer incentive
SCN-021,AZ,Dealer partner,Solar loan,Loan,Near prime,Emerging,6.913,Yes,12091,22888.79,0.121,0.069,0.027,206.46,"8.49% APR, 12.1% dealer fee",-6666.34,0.034,-610.896,-1252.295,-70.917,5.703,42.435,9,271.976,-301.05,Raise rate or reduce dealer incentive
SCN-022,AZ,Installer platform,Solar loan,Loan,Super prime,Emerging,10.395,No,17234,34163.52,0.11,0.051,0.007,283.43,"7.63% APR, 11.0% dealer fee",2579.38,0.059,5.003,-546.227,36.689,33.462,56.161,8,148.857,-299.03,Raise rate or reduce dealer incentive
SCN-023,AZ,New homes,Solar loan,Loan,Near prime,National,7.6,No,12196,22467.89,0.118,0.066,0.027,214.69,"9.23% APR, 11.8% dealer fee",-3012.64,0.051,-418.429,-1190.638,178.002,6.021,40.709,1,283.985,-380.93,Raise rate or reduce dealer incentive
SCN-024,AZ,Direct homeowner,Solar loan,Loan,Prime,Regional,10.839,Yes,18559,35294.13,0.09,0.05,0.014,300.07,"8.12% APR, 9.0% dealer fee",2855.23,0.058,-61.168,-675.496,148.304,22.172,51.832,4,183.423,-260.1,Raise rate or reduce dealer incentive
SCN-025,AZ,Dealer partner,Solar plus storage loan,Loan,Near prime,Regional,10.803,Yes,18582,33960.73,0.143,0.064,0.027,323.09,"8.90% APR, 14.3% dealer fee",-4829.82,0.048,-426.982,-1127.391,42.026,7.255,43.087,4,244.49,-532.24,Raise rate or reduce dealer incentive
SCN-026,AZ,Installer platform,Solar plus storage loan,Loan,Prime,Regional,7.69,Yes,13881,26915.8,0.125,0.052,0.014,256.28,"9.11% APR, 12.5% dealer fee",2059.67,0.06,-63.805,-609.612,120.519,19.977,49.67,4,171.359,-576.62,Raise rate or reduce dealer incentive
SCN-027,AZ,New homes,Solar plus storage loan,Loan,Super prime,Regional,10.84,Yes,18759,37273.76,0.135,0.053,0.007,336.03,"8.33% APR, 13.5% dealer fee",6602.26,0.071,105.281,-423.897,-7.297,33.286,56.385,6,121.477,-655.72,Raise rate or reduce dealer incentive
SCN-028,AZ,Direct homeowner,Solar plus storage loan,Loan,Prime,Regional,6.731,Yes,10913,20636.15,0.124,0.051,0.014,202.76,"9.51% APR, 12.4% dealer fee",3001.54,0.065,1.853,-642.434,98.221,20.387,51.082,4,166.788,-468.71,Raise rate or reduce dealer incentive
SCN-029,AZ,Dealer partner,Operating lease,Lease,Prime,National,8.497,No,14118,27640.28,0.077,0.051,0.014,287.86,"$288/mo, 0.00% escalator",19379.19,0.13,742.065,100.286,37.335,22.102,68.109,3,37.063,-913.03,Reprice to defend installer proposal flow
SCN-030,AZ,Installer platform,Operating lease,Lease,Prime,Regional,7.001,No,12012,22390.41,0.056,0.05,0.014,257.67,"$258/mo, 0.00% escalator",20537.2,0.152,974.774,460.793,-2.688,22.062,79.346,2,18.0,-929.85,Expand into next operating review
SCN-031,AZ,New homes,Operating lease,Lease,Super prime,Regional,8.939,No,15399,27771.97,0.081,0.047,0.007,294.21,"$294/mo, 0.00% escalator",24373.56,0.141,912.438,332.603,-7.435,29.752,75.915,4,32.8,-758.62,Expand into next operating review
SCN-032,AZ,Direct homeowner,Operating lease,Lease,Near prime,Regional,6.444,No,11021,20500.46,0.083,0.068,0.027,208.8,"$209/mo, 0.00% escalator",7979.25,0.118,409.691,-288.849,18.391,6.349,53.163,1,78.983,-521.63,Raise rate or reduce dealer incentive
SCN-033,AZ,Dealer partner,Levelized PPA,PPA,Super prime,Regional,12.278,No,21870,40789.06,0.074,0.045,0.007,232.09,"$0.127/kWh, 3.50% escalator",20990.31,0.092,444.597,-51.954,13.692,31.218,67.708,5,46.861,1151.58,Raise rate or reduce dealer incentive
SCN-034,AZ,Installer platform,Levelized PPA,PPA,Super prime,Emerging,12.148,No,21057,33919.33,0.08,0.047,0.007,215.64,"$0.123/kWh, 2.99% escalator",18081.47,0.098,476.266,-17.38,37.591,31.524,70.037,3,34.969,1202.7,Reprice to defend installer proposal flow
SCN-035,AZ,New homes,Levelized PPA,PPA,Prime,Emerging,8.089,No,14085,25854.96,0.077,0.054,0.014,146.97,"$0.125/kWh, 3.50% escalator",7301.77,0.083,232.831,-375.308,23.012,22.557,53.229,7,125.466,771.77,Raise rate or reduce dealer incentive
SCN-036,AZ,Direct homeowner,Levelized PPA,PPA,Near prime,Regional,11.523,No,20746,34048.14,0.06,0.069,0.027,243.45,"$0.141/kWh, 3.50% escalator",16566.17,0.121,426.144,-332.877,7.468,5.256,51.481,5,98.52,812.88,Raise rate or reduce dealer incentive
SCN-037,AZ,Dealer partner,Prepaid lease,Lease,Prime,Emerging,7.661,Yes,12497,28893.32,0.066,0.051,0.014,0,"$2125/kW prepaid, 6.6% dealer fee",-1062.44,0.017,-344.818,-986.758,23.616,23.193,49.781,7,221.746,1754.64,Raise rate or reduce dealer incentive
SCN-038,AZ,Installer platform,Prepaid lease,Lease,Prime,Emerging,11.846,Yes,19950,43203.59,0.05,0.058,0.014,0,"$2128/kW prepaid, 5.0% dealer fee",1306.0,0.088,300.468,-228.003,26.06,18.65,58.779,4,79.434,2801.05,Raise rate or reduce dealer incentive
SCN-039,AZ,New homes,Prepaid lease,Lease,Super prime,Emerging,6.219,No,10807,17289.39,0.032,0.047,0.007,0,"$1411/kW prepaid, 3.2% dealer fee",-300.6,0.036,-107.325,-541.192,11.461,32.692,52.878,5,142.752,1517.42,Raise rate or reduce dealer incentive
SCN-040,AZ,Direct homeowner,Prepaid lease,Lease,Prime,Emerging,6.601,No,10679,19879.97,0.056,0.053,0.014,0,"$1643/kW prepaid, 5.6% dealer fee",-860.64,0.017,-362.757,-874.875,11.711,25.462,53.214,2,174.498,1499.39,Raise rate or reduce dealer incentive
SCN-041,TX,Dealer partner,Solar loan,Loan,Prime,National,8.437,No,12589,25516.63,0.083,0.052,0.014,227.8,"8.78% APR, 8.3% dealer fee",990.39,0.056,-101.388,-624.284,0.371,23.672,48.322,5,152.685,-845.28,Raise rate or reduce dealer incentive
SCN-042,TX,Installer platform,Solar loan,Loan,Prime,Emerging,10.163,No,14672,32217.07,0.1,0.055,0.014,280.48,"8.29% APR, 10.0% dealer fee",2518.77,0.062,-61.659,-688.465,112.486,25.322,50.255,2,174.722,-1164.81,Raise rate or reduce dealer incentive
SCN-043,TX,New homes,Solar loan,Loan,Prime,National,8.443,Yes,12995,32191.52,0.104,0.052,0.014,274.22,"8.00% APR, 10.4% dealer fee",1377.84,0.056,-97.365,-601.964,-26.604,23.551,46.411,5,155.544,-1341.39,Raise rate or reduce dealer incentive
SCN-044,TX,Direct homeowner,Solar loan,Loan,Prime,National,11.183,Yes,17281,38210.16,0.091,0.055,0.014,300.5,"7.21% APR, 9.1% dealer fee",-3538.37,0.045,-236.394,-743.207,-3.166,19.461,49.033,1,150.983,-1013.73,Raise rate or reduce dealer incentive
SCN-045,TX,Dealer partner,Solar plus storage loan,Loan,Near prime,Emerging,6.676,Yes,10553,25404.96,0.113,0.059,0.027,248.86,"9.59% APR, 11.3% dealer fee",-3643.14,0.044,-423.353,-1139.716,73.076,3.773,39.965,6,263.525,-1403.29,Raise rate or reduce dealer incentive
SCN-046,TX,Installer platform,Solar plus storage loan,Loan,Super prime,Regional,8.398,Yes,13343,26717.53,0.127,0.045,0.007,249.67,"8.85% APR, 12.7% dealer fee",7413.2,0.071,186.918,-295.488,103.917,28.881,59.542,1,98.03,-994.63,Raise rate or reduce dealer incentive
SCN-047,TX,New homes,Solar plus storage loan,Loan,Prime,Emerging,9.926,Yes,14407,35749.88,0.138,0.057,0.014,320.14,"8.22% APR, 13.8% dealer fee",1478.45,0.061,-97.402,-607.644,83.948,20.673,45.203,5,177.688,-1680.54,Raise rate or reduce dealer incentive
SCN-048,TX,Direct homeowner,Solar plus storage loan,Loan,Prime,Emerging,9.168,Yes,13307,34461.9,0.14,0.051,0.014,312.36,"8.35% APR, 14.0% dealer fee",4257.1,0.063,-18.541,-527.822,195.238,19.708,50.476,4,172.281,-1752.18,Raise rate or reduce dealer incentive
SCN-049,TX,Dealer partner,Operating lease,Lease,Super prime,Regional,11.409,No,17748,30910.36,0.049,0.051,0.007,382.88,"$383/mo, 2.99% escalator",58185.3,0.21,1572.378,1043.893,3.95,32.389,91.984,0,15.348,-1932.34,Expand into next operating review
SCN-050,TX,Installer platform,Operating lease,Lease,Prime,Regional,8.588,No,12583,24151.67,0.054,0.057,0.014,220.56,"$221/mo, 2.99% escalator",22536.35,0.147,847.97,327.336,24.913,20.857,73.473,1,20.579,-759.08,Monitor in weekly pricing digest
SCN-051,TX,New homes,Operating lease,Lease,Prime,National,9.132,No,14346,30350.91,0.059,0.053,0.014,313.72,"$314/mo, 3.50% escalator",44210.08,0.178,1194.337,623.985,36.111,22.192,79.174,6,48.267,-1612.65,Reprice to defend installer proposal flow
SCN-052,TX,Direct homeowner,Operating lease,Lease,Prime,National,12.175,Yes,18112,41683.93,0.081,0.05,0.014,510.96,"$511/mo, 3.50% escalator",82573.62,0.205,1496.388,992.387,18.398,24.374,91.097,0,12.415,-3414.65,Expand into next operating review
SCN-053,TX,Dealer partner,Levelized PPA,PPA,Super prime,National,11.711,No,17318,38698.33,0.072,0.045,0.007,161.8,"$0.112/kWh, 0.00% escalator",-6172.27,0.024,-237.326,-674.488,-4.451,31.108,51.445,5,157.817,656.16,Raise rate or reduce dealer incentive
SCN-054,TX,Installer platform,Levelized PPA,PPA,Near prime,Regional,8.777,No,13757,28280.39,0.098,0.062,0.027,111.43,"$0.097/kWh, 2.99% escalator",-5395.4,0.038,-325.113,-1006.833,-8.195,7.195,42.642,6,219.116,726.44,Raise rate or reduce dealer incentive
SCN-055,TX,New homes,Levelized PPA,PPA,Super prime,National,6.477,No,10110,20167.07,0.093,0.049,0.007,89.25,"$0.106/kWh, 0.00% escalator",-6233.87,0.006,-462.041,-920.706,32.1,32.703,50.255,0,193.787,445.49,Raise rate or reduce dealer incentive
SCN-056,TX,Direct homeowner,Levelized PPA,PPA,Prime,Regional,6.728,No,10012,19686.42,0.082,0.052,0.014,101.45,"$0.122/kWh, 0.00% escalator",-5173.19,0.015,-423.975,-930.328,2.345,22.963,50.504,7,200.562,284.41,Raise rate or reduce dealer incentive
SCN-057,TX,Dealer partner,Prepaid lease,Lease,Prime,Regional,9.944,No,15198,32428.33,0.062,0.052,0.014,0,"$1858/kW prepaid, 6.2% dealer fee",-643.73,0.033,-188.729,-768.148,13.454,21.209,47.288,4,176.374,1778.23,Raise rate or reduce dealer incentive
SCN-058,TX,Installer platform,Prepaid lease,Lease,Prime,National,10.701,No,16972,31434.78,0.029,0.049,0.014,0,"$1519/kW prepaid, 2.9% dealer fee",-1351.91,0.019,-294.509,-922.213,-10.223,19.907,47.981,5,197.371,1985.83,Raise rate or reduce dealer incentive
SCN-059,TX,New homes,Prepaid lease,Lease,Near prime,Regional,9.67,No,14561,32789.64,0.023,0.069,0.027,0,"$2154/kW prepaid, 2.3% dealer fee",468.72,0.096,270.63,-461.387,33.0,4.528,41.606,6,148.697,1703.69,Raise rate or reduce dealer incentive
SCN-060,TX,Direct homeowner,Prepaid lease,Lease,Prime,Regional,7.026,No,10202,21992.68,0.042,0.05,0.014,0,"$1577/kW prepaid, 4.2% dealer fee",-2805.15,-0.05,-996.414,-1595.224,17.921,18.818,48.764,4,302.05,1193.73,Raise rate or reduce dealer incentive
SCN-061,FL,Dealer partner,Solar loan,Loan,Prime,Emerging,10.721,No,15406,29114.6,0.094,0.052,0.014,258.43,"8.59% APR, 9.4% dealer fee",2392.35,0.061,-58.806,-649.805,158.849,19.415,48.274,3,188.046,-482.02,Raise rate or reduce dealer incentive
SCN-062,FL,Installer platform,Solar loan,Loan,Super prime,Emerging,7.254,No,10827,22994.64,0.105,0.052,0.007,206.2,"8.60% APR, 10.5% dealer fee",3336.13,0.066,72.166,-432.648,200.117,29.006,57.525,6,161.88,-633.73,Raise rate or reduce dealer incentive
SCN-063,FL,New homes,Solar loan,Loan,Prime,Emerging,11.002,No,16497,32777.41,0.109,0.054,0.014,274.03,"7.73% APR, 10.9% dealer fee",1215.46,0.057,-102.638,-613.668,16.913,19.332,46.379,7,168.305,-483.85,Raise rate or reduce dealer incentive
SCN-064,FL,Direct homeowner,Solar loan,Loan,Super prime,Regional,9.327,No,13333,29804.76,0.108,0.047,0.007,242.67,"7.44% APR, 10.8% dealer fee",3026.91,0.057,28.07,-550.522,-40.492,32.461,56.941,3,119.836,-645.21,Raise rate or reduce dealer incentive
SCN-065,FL,Dealer partner,Solar plus storage loan,Loan,Prime,National,9.332,Yes,14274,36399.35,0.133,0.056,0.014,342.77,"8.88% APR, 13.3% dealer fee",4797.43,0.069,-7.504,-595.032,228.301,23.265,49.891,9,214.895,-1686.58,Raise rate or reduce dealer incentive
SCN-066,FL,Installer platform,Solar plus storage loan,Loan,Near prime,Regional,6.611,Yes,9880,20853.09,0.114,0.062,0.027,202.18,"9.45% APR, 11.4% dealer fee",-4437.61,0.039,-505.538,-1182.601,174.819,6.546,44.11,5,284.474,-746.52,Raise rate or reduce dealer incentive
SCN-067,FL,New homes,Solar plus storage loan,Loan,Super prime,National,7.568,Yes,11676,27732.98,0.113,0.047,0.007,238.66,"8.02% APR, 11.3% dealer fee",2005.24,0.055,0.422,-470.597,196.798,34.182,55.544,5,173.537,-879.01,Raise rate or reduce dealer incentive
SCN-068,FL,Direct homeowner,Solar plus storage loan,Loan,Near prime,Regional,7.106,Yes,10627,25468.69,0.131,0.061,0.027,265.03,"10.16% APR, 13.1% dealer fee",-980.67,0.057,-310.815,-1036.507,281.076,1.536,43.245,2,273.979,-1373.66,Raise rate or reduce dealer incentive
SCN-069,FL,Dealer partner,Operating lease,Lease,Super prime,Regional,12.192,Yes,19067,43242.97,0.069,0.051,0.007,530.94,"$531/mo, 3.50% escalator",84361.06,0.207,1530.922,1074.663,33.858,34.235,94.499,4,36.126,-3129.84,Reprice to defend installer proposal flow
SCN-070,FL,Installer platform,Operating lease,Lease,Prime,National,6.943,Yes,10706,23906.52,0.05,0.05,0.014,222.42,"$222/mo, 3.50% escalator",27473.86,0.148,933.075,347.908,-7.652,23.185,76.762,4,24.8,-848.85,Expand into next operating review
SCN-071,FL,New homes,Operating lease,Lease,Super prime,Regional,10.772,Yes,16811,33786.18,0.058,0.048,0.007,319.87,"$320/mo, 0.00% escalator",22231.87,0.123,722.922,187.388,23.873,28.572,71.466,3,35.611,-980.45,Monitor in weekly pricing digest
SCN-072,FL,Direct homeowner,Operating lease,Lease,Prime,Regional,6.715,No,9585,18169.28,0.069,0.053,0.014,214.95,"$215/mo, 2.99% escalator",26885.18,0.18,1218.562,669.344,10.742,21.674,86.296,2,17.378,-949.85,Expand into next operating review
SCN-073,FL,Dealer partner,Levelized PPA,PPA,Super prime,Regional,6.621,No,9757,23114.09,0.058,0.053,0.007,97.98,"$0.121/kWh, 2.99% escalator",79.36,0.054,-20.58,-565.926,3.036,33.847,54.616,3,131.523,482.94,Raise rate or reduce dealer incentive
SCN-074,FL,Installer platform,Levelized PPA,PPA,Super prime,National,10.645,No,15434,33305.75,0.085,0.046,0.007,174.72,"$0.136/kWh, 2.99% escalator",10097.73,0.076,272.44,-298.172,-12.35,28.943,61.233,1,71.998,527.19,Raise rate or reduce dealer incentive
SCN-075,FL,New homes,Levelized PPA,PPA,Super prime,Regional,8.109,No,11822,26828.0,0.069,0.05,0.007,135.79,"$0.138/kWh, 0.00% escalator",-4673.14,0.026,-264.834,-740.099,17.056,33.881,52.49,3,169.468,380.4,Raise rate or reduce dealer incentive
SCN-076,FL,Direct homeowner,Levelized PPA,PPA,Prime,Emerging,8.185,No,12279,27625.53,0.101,0.054,0.014,114.23,"$0.112/kWh, 3.50% escalator",-3284.9,0.041,-177.682,-697.796,-2.966,19.833,50.93,5,155.61,716.75,Raise rate or reduce dealer incentive
SCN-077,FL,Dealer partner,Prepaid lease,Lease,Super prime,Emerging,6.301,No,9098,22154.21,0.031,0.054,0.007,0,"$2021/kW prepaid, 3.1% dealer fee",-1070.02,0.002,-521.143,-1041.803,-3.353,30.015,52.726,2,205.235,1206.5,Raise rate or reduce dealer incentive
SCN-078,FL,Installer platform,Prepaid lease,Lease,Super prime,National,12.369,No,19167,37427.59,0.021,0.047,0.007,0,"$1785/kW prepaid, 2.1% dealer fee",2819.97,0.118,705.125,200.23,-8.579,30.934,75.914,4,24.8,2541.64,Expand into next operating review
SCN-079,FL,New homes,Prepaid lease,Lease,Near prime,Emerging,10.61,No,14878,32055.11,0.063,0.061,0.027,0,"$1717/kW prepaid, 6.3% dealer fee",-577.54,0.044,-175.393,-881.253,12.892,1.546,38.909,8,220.276,1972.83,Raise rate or reduce dealer incentive
SCN-080,FL,Direct homeowner,Prepaid lease,Lease,Super prime,National,9.675,No,14527,27965.35,0.031,0.048,0.007,0,"$1753/kW prepaid, 3.1% dealer fee",2018.85,0.127,787.727,209.192,3.239,28.155,76.236,4,22.377,1926.36,Expand into next operating review
SCN-081,NJ,Dealer partner,Solar loan,Loan,Super prime,Regional,6.481,Yes,7748,24700.47,0.124,0.049,0.007,193.81,"6.86% APR, 12.4% dealer fee",446.99,0.051,-51.99,-620.827,-144.549,34.23,60.017,1,127.917,-620.95,Raise rate or reduce dealer incentive
SCN-082,NJ,Installer platform,Solar loan,Loan,Super prime,Regional,7.124,No,8908,23520.57,0.107,0.054,0.007,211.67,"8.61% APR, 10.7% dealer fee",4632.59,0.073,123.481,-432.32,192.651,27.707,62.508,2,141.95,-580.31,Raise rate or reduce dealer incentive
SCN-083,NJ,New homes,Solar loan,Loan,Super prime,Regional,11.467,No,14864,31234.65,0.092,0.051,0.007,249.48,"7.39% APR, 9.2% dealer fee",1247.69,0.055,-30.202,-507.703,137.671,28.428,57.617,6,166.819,276.38,Raise rate or reduce dealer incentive
SCN-084,NJ,Direct homeowner,Solar loan,Loan,Super prime,Regional,6.759,No,8394,23417.88,0.128,0.05,0.007,185.36,"6.92% APR, 12.8% dealer fee",1087.59,0.054,-23.789,-474.615,34.693,30.89,63.91,6,119.946,-377.56,Raise rate or reduce dealer incentive
SCN-085,NJ,Dealer partner,Solar plus storage loan,Loan,Near prime,Regional,10.293,Yes,13529,38637.52,0.119,0.062,0.027,411.49,"10.60% APR, 11.9% dealer fee",2872.39,0.07,-192.793,-968.927,300.507,8.252,49.106,6,282.555,-1961.5,Raise rate or reduce dealer incentive
SCN-086,NJ,Installer platform,Solar plus storage loan,Loan,Prime,Regional,9.801,Yes,12658,35710.9,0.129,0.058,0.014,345.5,"9.26% APR, 12.9% dealer fee",5699.8,0.074,21.044,-544.724,231.117,21.995,56.987,4,180.936,-1361.23,Raise rate or reduce dealer incentive
SCN-087,NJ,New homes,Solar plus storage loan,Loan,Prime,Regional,12.275,Yes,16199,44833.4,0.129,0.056,0.014,430.34,"9.16% APR, 12.9% dealer fee",9535.5,0.077,70.61,-509.926,121.029,23.029,55.288,10,178.876,-1600.08,Raise rate or reduce dealer incentive
SCN-088,NJ,Direct homeowner,Solar plus storage loan,Loan,Prime,Regional,9.997,Yes,12596,34300.18,0.122,0.056,0.014,309.7,"8.49% APR, 12.2% dealer fee",1915.91,0.061,-83.155,-634.9,231.912,25.085,58.656,5,194.253,-945.17,Raise rate or reduce dealer incentive
SCN-089,NJ,Dealer partner,Operating lease,Lease,Super prime,National,11.547,Yes,15394,43813.21,0.068,0.051,0.007,422.6,"$423/mo, 3.50% escalator",62375.63,0.17,1170.061,703.474,6.2,31.983,94.614,7,39.688,-1684.49,Hold launch until pricing QA clears
SCN-090,NJ,Installer platform,Operating lease,Lease,Near prime,National,8.352,No,10645,24103.42,0.077,0.064,0.027,242.02,"$242/mo, 2.99% escalator",23322.13,0.159,851.899,130.203,-13.254,5.801,68.933,4,27.56,-562.31,Monitor in weekly pricing digest
SCN-091,NJ,New homes,Operating lease,Lease,Super prime,Regional,10.777,No,13276,38256.16,0.069,0.049,0.007,411.98,"$412/mo, 0.00% escalator",38229.69,0.157,1059.356,561.706,20.343,30.965,88.388,1,27.482,-2022.96,Expand into next operating review
SCN-092,NJ,Direct homeowner,Operating lease,Lease,Prime,Regional,9.828,Yes,12862,30789.62,0.079,0.056,0.014,309.19,"$309/mo, 0.00% escalator",20146.03,0.133,716.755,210.513,7.185,25.495,80.676,6,30.124,-880.42,Expand into next operating review
SCN-093,NJ,Dealer partner,Levelized PPA,PPA,Prime,Regional,7.295,Yes,8950,23461.95,0.064,0.049,0.014,134.13,"$0.180/kWh, 0.00% escalator",-841.87,0.044,-96.194,-677.009,35.915,19.167,53.69,5,164.82,359.6,Raise rate or reduce dealer incentive
SCN-094,NJ,Installer platform,Levelized PPA,PPA,Prime,Regional,7.974,No,10065,24373.44,0.083,0.057,0.014,143.82,"$0.171/kWh, 0.00% escalator",-780.21,0.053,-91.753,-633.487,7.673,23.617,56.799,0,128.08,488.62,Raise rate or reduce dealer incentive
SCN-095,NJ,New homes,Levelized PPA,PPA,Super prime,Regional,9.937,No,12946,29405.85,0.085,0.044,0.007,160.55,"$0.149/kWh, 0.00% escalator",3269.73,0.058,108.93,-390.008,18.4,28.423,60.884,7,119.821,921.64,Raise rate or reduce dealer incentive
SCN-096,NJ,Direct homeowner,Levelized PPA,PPA,Super prime,Regional,10.844,Yes,12859,37512.17,0.061,0.046,0.007,167.14,"$0.156/kWh, 0.00% escalator",-7076.8,0.02,-284.89,-819.229,-0.452,28.217,59.971,8,177.103,823.39,Raise rate or reduce dealer incentive
